wavelength_nm,detector_V
1520.1510,0.699191
1520.1520,0.714578
1520.1530,0.716618
1520.1540,0.717616
1520.1550,0.705076
1520.1560,0.706808
1520.1570,0.741716
1520.1580,0.719880
1520.1590,0.723439
1520.1600,0.728713
1520.1610,0.739978
1520.1620,0.715507
1520.1630,0.717010
1520.1640,0.730219
1520.1650,0.744970
1520.1660,0.741092
1520.1670,0.731795
1520.1680,0.754114
1520.1690,0.742270
1520.1700,0.749188
1520.1710,0.767392
1520.1720,0.751104
1520.1730,0.761273
1520.1740,0.757531
1520.1750,0.761947
1520.1760,0.769613
1520.1770,0.771009
1520.1780,0.777431
1520.1790,0.777867
1520.1800,0.784943
1520.1810,0.793414
1520.1820,0.767527
1520.1830,0.773340
1520.1840,0.781748
1520.1850,0.800078
1520.1860,0.782395
1520.1870,0.790887
1520.1880,0.811840
1520.1890,0.788134
1520.1900,0.804447
1520.1910,0.781758
1520.1920,0.802023
1520.1930,0.800344
1520.1940,0.823886
1520.1950,0.806839
1520.1960,0.826354
1520.1970,0.829869
1520.1980,0.817464
1520.1990,0.809555
1520.2000,0.821951
1520.2010,0.805643
1520.2020,0.828978
1520.2030,0.833876
1520.2040,0.826247
1520.2050,0.809381
1520.2060,0.823104
1520.2070,0.819930
1520.2080,0.832919
1520.2090,0.817104
1520.2100,0.820072
1520.2110,0.813417
1520.2120,0.831890
1520.2130,0.831160
1520.2140,0.835837
1520.2150,0.827739
1520.2160,0.827911
1520.2170,0.814886
1520.2180,0.828510
1520.2190,0.847853
1520.2200,0.827572
1520.2210,0.796229
1520.2220,0.821177
1520.2230,0.825865
1520.2240,0.806663
1520.2250,0.804676
1520.2260,0.805210
1520.2270,0.806629
1520.2280,0.821272
1520.2290,0.811170
1520.2300,0.795852
1520.2310,0.820198
1520.2320,0.806753
1520.2330,0.795398
1520.2340,0.841449
1520.2350,0.810898
1520.2360,0.781781
1520.2370,0.797139
1520.2380,0.786520
1520.2390,0.776515
1520.2400,0.762786
1520.2410,0.792640
1520.2420,0.781150
1520.2430,0.782817
1520.2440,0.770044
1520.2450,0.768836
1520.2460,0.792859
1520.2470,0.761428
1520.2480,0.763162
1520.2490,0.742413
1520.2500,0.755113
1520.2510,0.767536
1520.2520,0.766198
1520.2530,0.761265
1520.2540,0.754379
1520.2550,0.753312
1520.2560,0.725385
1520.2570,0.725612
1520.2580,0.750238
1520.2590,0.735616
1520.2600,0.748087
1520.2610,0.716015
1520.2620,0.731633
1520.2630,0.722500
1520.2640,0.721779
1520.2650,0.712199
1520.2660,0.725845
1520.2670,0.700824
1520.2680,0.715859
1520.2690,0.716677
1520.2700,0.734920
1520.2710,0.714037
1520.2720,0.704967
1520.2730,0.723867
1520.2740,0.728290
1520.2750,0.730547
1520.2760,0.716737
1520.2770,0.716050
1520.2780,0.708544
1520.2790,0.712226
1520.2800,0.713105
1520.2810,0.710350
1520.2820,0.725281
1520.2830,0.706378
1520.2840,0.704794
1520.2850,0.717779
1520.2860,0.705636
1520.2870,0.702765
1520.2880,0.706643
1520.2890,0.701669
1520.2900,0.707462
1520.2910,0.718001
1520.2920,0.714664
1520.2930,0.706396
1520.2940,0.692580
1520.2950,0.709387
1520.2960,0.714166
1520.2970,0.730245
1520.2980,0.710337
1520.2990,0.728250
1520.3000,0.742206
1520.3010,0.738119
1520.3020,0.746607
1520.3030,0.733253
1520.3040,0.730682
1520.3050,0.741326
1520.3060,0.718147
1520.3070,0.744959
1520.3080,0.750102
1520.3090,0.730844
1520.3100,0.757287
1520.3110,0.768843
1520.3120,0.754808
1520.3130,0.759384
1520.3140,0.740972
1520.3150,0.751177
1520.3160,0.757011
1520.3170,0.764484
1520.3180,0.756746
1520.3190,0.754509
1520.3200,0.777983
1520.3210,0.776890
1520.3220,0.775822
1520.3230,0.764240
1520.3240,0.785734
1520.3250,0.768488
1520.3260,0.788204
1520.3270,0.777484
1520.3280,0.784891
1520.3290,0.803973
1520.3300,0.797829
1520.3310,0.796823
1520.3320,0.802886
1520.3330,0.792943
1520.3340,0.779894
1520.3350,0.801131
1520.3360,0.821327
1520.3370,0.802031
1520.3380,0.809116
1520.3390,0.801723
1520.3400,0.822786
1520.3410,0.822801
1520.3420,0.823990
1520.3430,0.822912
1520.3440,0.821011
1520.3450,0.809972
1520.3460,0.805654
1520.3470,0.834947
1520.3480,0.827926
1520.3490,0.829832
1520.3500,0.831108
1520.3510,0.816706
1520.3520,0.836278
1520.3530,0.817543
1520.3540,0.828150
1520.3550,0.807803
1520.3560,0.815212
1520.3570,0.825073
1520.3580,0.832756
1520.3590,0.816400
1520.3600,0.816048
1520.3610,0.804601
1520.3620,0.827319
1520.3630,0.825395
1520.3640,0.808097
1520.3650,0.837012
1520.3660,0.808667
1520.3670,0.813712
1520.3680,0.805659
1520.3690,0.808251
1520.3700,0.808843
1520.3710,0.793916
1520.3720,0.807357
1520.3730,0.792847
1520.3740,0.793463
1520.3750,0.795722
1520.3760,0.810923
1520.3770,0.803208
1520.3780,0.808426
1520.3790,0.798533
1520.3800,0.776025
1520.3810,0.771617
1520.3820,0.800992
1520.3830,0.771591
1520.3840,0.778433
1520.3850,0.766945
1520.3860,0.772788
1520.3870,0.765722
1520.3880,0.750586
1520.3890,0.757641
1520.3900,0.745871
1520.3910,0.746307
1520.3920,0.749093
1520.3930,0.745798
1520.3940,0.763746
1520.3950,0.743878
1520.3960,0.760332
1520.3970,0.742581
1520.3980,0.754291
1520.3990,0.740073
1520.4000,0.724972
1520.4010,0.739294
1520.4020,0.744824
1520.4030,0.723036
1520.4040,0.728107
1520.4050,0.707796
1520.4060,0.722349
1520.4070,0.700479
1520.4080,0.741164
1520.4090,0.717214
1520.4100,0.718740
1520.4110,0.715713
1520.4120,0.704163
1520.4130,0.716086
1520.4140,0.716806
1520.4150,0.698569
1520.4160,0.716618
1520.4170,0.713704
1520.4180,0.688118
1520.4190,0.710410
1520.4200,0.700038
1520.4210,0.697471
1520.4220,0.696262
1520.4230,0.704313
1520.4240,0.703521
1520.4250,0.718450
1520.4260,0.692998
1520.4270,0.703882
1520.4280,0.711492
1520.4290,0.701232
1520.4300,0.692040
1520.4310,0.690174
1520.4320,0.701260
1520.4330,0.697921
1520.4340,0.713886
1520.4350,0.717723
1520.4360,0.720307
1520.4370,0.708942
1520.4380,0.703807
1520.4390,0.692546
1520.4400,0.723663
1520.4410,0.702500
1520.4420,0.684656
1520.4430,0.709167
1520.4440,0.716953
1520.4450,0.715407
1520.4460,0.711529
1520.4470,0.725939
1520.4480,0.711859
1520.4490,0.726092
1520.4500,0.738850
1520.4510,0.735412
1520.4520,0.742484
1520.4530,0.720267
1520.4540,0.727548
1520.4550,0.726772
1520.4560,0.741443
1520.4570,0.750201
1520.4580,0.773918
1520.4590,0.742900
1520.4600,0.742567
1520.4610,0.747044
1520.4620,0.757418
1520.4630,0.756926
1520.4640,0.761074
1520.4650,0.763318
1520.4660,0.757151
1520.4670,0.768877
1520.4680,0.773430
1520.4690,0.814696
1520.4700,0.786967
1520.4710,0.791404
1520.4720,0.804224
1520.4730,0.792233
1520.4740,0.797353
1520.4750,0.779091
1520.4760,0.800847
1520.4770,0.795982
1520.4780,0.811633
1520.4790,0.794877
1520.4800,0.812493
1520.4810,0.798908
1520.4820,0.805302
1520.4830,0.805686
1520.4840,0.802635
1520.4850,0.824963
1520.4860,0.806178
1520.4870,0.808386
1520.4880,0.825877
1520.4890,0.815547
1520.4900,0.807631
1520.4910,0.806690
1520.4920,0.812292
1520.4930,0.816265
1520.4940,0.813294
1520.4950,0.809914
1520.4960,0.805373
1520.4970,0.802061
1520.4980,0.821130
1520.4990,0.808974
1520.5000,0.811578
1520.5010,0.833996
1520.5020,0.819313
1520.5030,0.800941
1520.5040,0.810049
1520.5050,0.808786
1520.5060,0.822862
1520.5070,0.801966
1520.5080,0.792853
1520.5090,0.815006
1520.5100,0.810714
1520.5110,0.810595
1520.5120,0.786191
1520.5130,0.770160
1520.5140,0.807617
1520.5150,0.796175
1520.5160,0.787224
1520.5170,0.775119
1520.5180,0.799128
1520.5190,0.794944
1520.5200,0.786465
1520.5210,0.782892
1520.5220,0.764250
1520.5230,0.764437
1520.5240,0.788518
1520.5250,0.774294
1520.5260,0.773124
1520.5270,0.773167
1520.5280,0.763714
1520.5290,0.768841
1520.5300,0.758057
1520.5310,0.756400
1520.5320,0.754492
1520.5330,0.740917
1520.5340,0.764037
1520.5350,0.742442
1520.5360,0.742737
1520.5370,0.728657
1520.5380,0.742282
1520.5390,0.731123
1520.5400,0.739320
1520.5410,0.736921
1520.5420,0.730160
1520.5430,0.730629
1520.5440,0.728737
1520.5450,0.718800
1520.5460,0.718938
1520.5470,0.733641
1520.5480,0.729650
1520.5490,0.715586
1520.5500,0.723816
1520.5510,0.715635
1520.5520,0.694440
1520.5530,0.710166
1520.5540,0.706397
1520.5550,0.716973
1520.5560,0.698261
1520.5570,0.711192
1520.5580,0.716945
1520.5590,0.704764
1520.5600,0.702445
1520.5610,0.696357
1520.5620,0.705623
1520.5630,0.706921
1520.5640,0.712120
1520.5650,0.705599
1520.5660,0.689485
1520.5670,0.677272
1520.5680,0.690738
1520.5690,0.709773
1520.5700,0.700188
1520.5710,0.703948
1520.5720,0.703081
1520.5730,0.683278
1520.5740,0.701357
1520.5750,0.712954
1520.5760,0.715377
1520.5770,0.710320
1520.5780,0.705014
1520.5790,0.702728
1520.5800,0.708589
1520.5810,0.721437
1520.5820,0.711742
1520.5830,0.714993
1520.5840,0.713453
1520.5850,0.701243
1520.5860,0.723635
1520.5870,0.726347
1520.5880,0.735874
1520.5890,0.728215
1520.5900,0.717146
1520.5910,0.729221
1520.5920,0.728389
1520.5930,0.741634
1520.5940,0.727132
1520.5950,0.725532
1520.5960,0.724317
1520.5970,0.745033
1520.5980,0.740542
1520.5990,0.743499
1520.6000,0.736970
1520.6010,0.761876
1520.6020,0.747971
1520.6030,0.758955
1520.6040,0.770830
1520.6050,0.761808
1520.6060,0.759144
1520.6070,0.768048
1520.6080,0.770018
1520.6090,0.764986
1520.6100,0.779281
1520.6110,0.765073
1520.6120,0.782978
1520.6130,0.780350
1520.6140,0.792723
1520.6150,0.789620
1520.6160,0.781322
1520.6170,0.778948
1520.6180,0.793324
1520.6190,0.779470
1520.6200,0.774851
1520.6210,0.799800
1520.6220,0.789578
1520.6230,0.787057
1520.6240,0.778903
1520.6250,0.800960
1520.6260,0.794845
1520.6270,0.803443
1520.6280,0.789938
1520.6290,0.817739
1520.6300,0.804521
1520.6310,0.797070
1520.6320,0.793696
1520.6330,0.789476
1520.6340,0.792421
1520.6350,0.803232
1520.6360,0.831937
1520.6370,0.808585
1520.6380,0.793856
1520.6390,0.793331
1520.6400,0.784376
1520.6410,0.802049
1520.6420,0.800739
1520.6430,0.793388
1520.6440,0.786559
1520.6450,0.827627
1520.6460,0.789412
1520.6470,0.784027
1520.6480,0.780724
1520.6490,0.799403
1520.6500,0.785257
1520.6510,0.792469
1520.6520,0.778787
1520.6530,0.766292
1520.6540,0.761035
1520.6550,0.769528
1520.6560,0.782362
1520.6570,0.781225
1520.6580,0.765849
1520.6590,0.758880
1520.6600,0.761098
1520.6610,0.763867
1520.6620,0.757369
1520.6630,0.753997
1520.6640,0.746987
1520.6650,0.765281
1520.6660,0.745677
1520.6670,0.755898
1520.6680,0.744834
1520.6690,0.741183
1520.6700,0.744123
1520.6710,0.769759
1520.6720,0.767585
1520.6730,0.731003
1520.6740,0.731015
1520.6750,0.716459
1520.6760,0.719060
1520.6770,0.728255
1520.6780,0.731298
1520.6790,0.710315
1520.6800,0.722085
1520.6810,0.710287
1520.6820,0.713540
1520.6830,0.694977
1520.6840,0.697963
1520.6850,0.702367
1520.6860,0.708250
1520.6870,0.678844
1520.6880,0.707863
1520.6890,0.689119
1520.6900,0.708044
1520.6910,0.694943
1520.6920,0.670244
1520.6930,0.674728
1520.6940,0.682196
1520.6950,0.665904
1520.6960,0.680378
1520.6970,0.659453
1520.6980,0.664665
1520.6990,0.674913
1520.7000,0.633429
1520.7010,0.692127
1520.7020,0.683564
1520.7030,0.677226
1520.7040,0.665251
1520.7050,0.667655
1520.7060,0.666761
1520.7070,0.674674
1520.7080,0.663478
1520.7090,0.654920
1520.7100,0.666418
1520.7110,0.659254
1520.7120,0.659248
1520.7130,0.654278
1520.7140,0.676526
1520.7150,0.647771
1520.7160,0.651320
1520.7170,0.651720
1520.7180,0.648924
1520.7190,0.668447
1520.7200,0.665787
1520.7210,0.648739
1520.7220,0.654229
1520.7230,0.656701
1520.7240,0.643976
1520.7250,0.649278
1520.7260,0.662600
1520.7270,0.658566
1520.7280,0.654851
1520.7290,0.667726
1520.7300,0.665304
1520.7310,0.670549
1520.7320,0.656860
1520.7330,0.675520
1520.7340,0.656993
1520.7350,0.668348
1520.7360,0.668586
1520.7370,0.679940
1520.7380,0.659656
1520.7390,0.685713
1520.7400,0.673169
1520.7410,0.695308
1520.7420,0.677670
1520.7430,0.668175
1520.7440,0.674483
1520.7450,0.665321
1520.7460,0.691288
1520.7470,0.669499
1520.7480,0.697738
1520.7490,0.680971
1520.7500,0.693478
1520.7510,0.711795
1520.7520,0.698702
1520.7530,0.701816
1520.7540,0.686256
1520.7550,0.702947
1520.7560,0.688797
1520.7570,0.703961
1520.7580,0.685700
1520.7590,0.702841
1520.7600,0.699353
1520.7610,0.702896
1520.7620,0.689958
1520.7630,0.694688
1520.7640,0.713117
1520.7650,0.724390
1520.7660,0.705590
1520.7670,0.722439
1520.7680,0.718343
1520.7690,0.690458
1520.7700,0.714963
1520.7710,0.708249
1520.7720,0.710147
1520.7730,0.731649
1520.7740,0.720813
1520.7750,0.709463
1520.7760,0.711193
1520.7770,0.692162
1520.7780,0.717487
1520.7790,0.715311
1520.7800,0.705940
1520.7810,0.702327
1520.7820,0.696040
1520.7830,0.693492
1520.7840,0.695267
1520.7850,0.697586
1520.7860,0.711944
1520.7870,0.678962
1520.7880,0.684453
1520.7890,0.698289
1520.7900,0.695219
1520.7910,0.692786
1520.7920,0.708266
1520.7930,0.694015
1520.7940,0.702123
1520.7950,0.675746
1520.7960,0.678597
1520.7970,0.685638
1520.7980,0.672967
1520.7990,0.679731
1520.8000,0.659181
1520.8010,0.661386
1520.8020,0.670829
1520.8030,0.674313
1520.8040,0.681694
1520.8050,0.659909
1520.8060,0.653495
1520.8070,0.656482
1520.8080,0.667486
1520.8090,0.644859
1520.8100,0.645282
1520.8110,0.664380
1520.8120,0.632090
1520.8130,0.639673
1520.8140,0.639488
1520.8150,0.628286
1520.8160,0.625330
1520.8170,0.638181
1520.8180,0.626991
1520.8190,0.633861
1520.8200,0.612831
1520.8210,0.628628
1520.8220,0.619854
1520.8230,0.599661
1520.8240,0.614484
1520.8250,0.607673
1520.8260,0.605065
1520.8270,0.611282
1520.8280,0.591044
1520.8290,0.587519
1520.8300,0.589560
1520.8310,0.602819
1520.8320,0.595865
1520.8330,0.585584
1520.8340,0.591103
1520.8350,0.576213
1520.8360,0.574272
1520.8370,0.569626
1520.8380,0.561295
1520.8390,0.571277
1520.8400,0.564473
1520.8410,0.558643
1520.8420,0.561977
1520.8430,0.572056
1520.8440,0.555551
1520.8450,0.549536
1520.8460,0.561006
1520.8470,0.550910
1520.8480,0.554160
1520.8490,0.549197
1520.8500,0.554406
1520.8510,0.537136
1520.8520,0.533577
1520.8530,0.538182
1520.8540,0.553236
1520.8550,0.542581
1520.8560,0.536168
1520.8570,0.525110
1520.8580,0.536383
1520.8590,0.545268
1520.8600,0.552067
1520.8610,0.540485
1520.8620,0.541084
1520.8630,0.551642
1520.8640,0.535220
1520.8650,0.534708
1520.8660,0.541992
1520.8670,0.549421
1520.8680,0.555286
1520.8690,0.546007
1520.8700,0.532459
1520.8710,0.537202
1520.8720,0.536657
1520.8730,0.535876
1520.8740,0.536797
1520.8750,0.536707
1520.8760,0.529512
1520.8770,0.521233
1520.8780,0.549146
1520.8790,0.545974
1520.8800,0.531697
1520.8810,0.542602
1520.8820,0.543045
1520.8830,0.541322
1520.8840,0.546220
1520.8850,0.542242
1520.8860,0.533477
1520.8870,0.538117
1520.8880,0.556940
1520.8890,0.541831
1520.8900,0.541385
1520.8910,0.554760
1520.8920,0.535144
1520.8930,0.547816
1520.8940,0.550547
1520.8950,0.541942
1520.8960,0.541154
1520.8970,0.540213
1520.8980,0.557907
1520.8990,0.554737
1520.9000,0.552189
1520.9010,0.542812
1520.9020,0.539331
1520.9030,0.540828
1520.9040,0.553362
1520.9050,0.550057
1520.9060,0.550263
1520.9070,0.555024
1520.9080,0.539213
1520.9090,0.554574
1520.9100,0.545204
1520.9110,0.544216
1520.9120,0.540719
1520.9130,0.546700
1520.9140,0.550282
1520.9150,0.563635
1520.9160,0.542282
1520.9170,0.553367
1520.9180,0.539194
1520.9190,0.555602
1520.9200,0.539998
1520.9210,0.542416
1520.9220,0.538487
1520.9230,0.560512
1520.9240,0.524059
1520.9250,0.542118
1520.9260,0.534717
1520.9270,0.551015
1520.9280,0.533339
1520.9290,0.578203
1520.9300,0.535348
1520.9310,0.540058
1520.9320,0.523923
1520.9330,0.537771
1520.9340,0.529206
1520.9350,0.545507
1520.9360,0.524199
1520.9370,0.518905
1520.9380,0.515555
1520.9390,0.510071
1520.9400,0.516944
1520.9410,0.515413
1520.9420,0.526888
1520.9430,0.521811
1520.9440,0.519792
1520.9450,0.502080
1520.9460,0.511708
1520.9470,0.490494
1520.9480,0.504563
1520.9490,0.495121
1520.9500,0.490471
1520.9510,0.483942
1520.9520,0.507133
1520.9530,0.484741
1520.9540,0.478072
1520.9550,0.475768
1520.9560,0.474831
1520.9570,0.481753
1520.9580,0.471030
1520.9590,0.490950
1520.9600,0.446605
1520.9610,0.462403
1520.9620,0.452740
1520.9630,0.476204
1520.9640,0.467337
1520.9650,0.464211
1520.9660,0.449655
1520.9670,0.460400
1520.9680,0.456527
1520.9690,0.468889
1520.9700,0.453433
1520.9710,0.432072
1520.9720,0.441748
1520.9730,0.441748
1520.9740,0.450864
1520.9750,0.436813
1520.9760,0.410846
1520.9770,0.436363
1520.9780,0.434513
1520.9790,0.424798
1520.9800,0.414227
1520.9810,0.408111
1520.9820,0.406644
1520.9830,0.409009
1520.9840,0.405435
1520.9850,0.403617
1520.9860,0.415648
1520.9870,0.412491
1520.9880,0.399880
1520.9890,0.399905
1520.9900,0.400562
1520.9910,0.376161
1520.9920,0.400712
1520.9930,0.389330
1520.9940,0.396789
1520.9950,0.387299
1520.9960,0.393226
1520.9970,0.382121
1520.9980,0.400936
1520.9990,0.385524
1521.0000,0.378100
1521.0010,0.389982
1521.0020,0.393070
1521.0030,0.378096
1521.0040,0.382152
1521.0050,0.383680
1521.0060,0.372343
1521.0070,0.373509
1521.0080,0.375324
1521.0090,0.378517
1521.0100,0.378735
1521.0110,0.382516
1521.0120,0.383545
1521.0130,0.372425
1521.0140,0.369606
1521.0150,0.380345
1521.0160,0.381258
1521.0170,0.373597
1521.0180,0.380505
1521.0190,0.366681
1521.0200,0.374418
1521.0210,0.361497
1521.0220,0.378339
1521.0230,0.373866
1521.0240,0.358040
1521.0250,0.362559
1521.0260,0.373742
1521.0270,0.375021
1521.0280,0.375884
1521.0290,0.383521
1521.0300,0.378681
1521.0310,0.366714
1521.0320,0.368280
1521.0330,0.376896
1521.0340,0.367924
1521.0350,0.381778
1521.0360,0.383161
1521.0370,0.381124
1521.0380,0.370242
1521.0390,0.367829
1521.0400,0.380642
1521.0410,0.361007
1521.0420,0.377522
1521.0430,0.374536
1521.0440,0.368678
1521.0450,0.371119
1521.0460,0.392743
1521.0470,0.364504
1521.0480,0.381221
1521.0490,0.369269
1521.0500,0.373473
1521.0510,0.361150
1521.0520,0.374969
1521.0530,0.371465
1521.0540,0.379988
1521.0550,0.365986
1521.0560,0.374222
1521.0570,0.374802
1521.0580,0.368047
1521.0590,0.364417
1521.0600,0.357585
1521.0610,0.367155
1521.0620,0.359658
1521.0630,0.368334
1521.0640,0.366741
1521.0650,0.370969
1521.0660,0.378605
1521.0670,0.357901
1521.0680,0.353116
1521.0690,0.350519
1521.0700,0.340157
1521.0710,0.355580
1521.0720,0.356756
1521.0730,0.358494
1521.0740,0.350531
1521.0750,0.355083
1521.0760,0.358390
1521.0770,0.354201
1521.0780,0.346714
1521.0790,0.350731
1521.0800,0.347204
1521.0810,0.345135
1521.0820,0.351371
1521.0830,0.330928
1521.0840,0.332354
1521.0850,0.320749
1521.0860,0.328599
1521.0870,0.337787
1521.0880,0.330919
1521.0890,0.337133
1521.0900,0.329443
1521.0910,0.319965
1521.0920,0.313531
1521.0930,0.319128
1521.0940,0.323791
1521.0950,0.312533
1521.0960,0.315956
1521.0970,0.304698
1521.0980,0.304888
1521.0990,0.301194
1521.1000,0.309153
1521.1010,0.295379
1521.1020,0.303753
1521.1030,0.297122
1521.1040,0.298457
1521.1050,0.288447
1521.1060,0.295079
1521.1070,0.288812
1521.1080,0.287508
1521.1090,0.295077
1521.1100,0.280743
1521.1110,0.281352
1521.1120,0.278691
1521.1130,0.268560
1521.1140,0.272923
1521.1150,0.273890
1521.1160,0.278703
1521.1170,0.268176
1521.1180,0.269061
1521.1190,0.263284
1521.1200,0.259153
1521.1210,0.253441
1521.1220,0.257352
1521.1230,0.264958
1521.1240,0.266620
1521.1250,0.263557
1521.1260,0.254237
1521.1270,0.268363
1521.1280,0.246750
1521.1290,0.256500
1521.1300,0.253888
1521.1310,0.246634
1521.1320,0.240555
1521.1330,0.241614
1521.1340,0.248630
1521.1350,0.232756
1521.1360,0.248642
1521.1370,0.229171
1521.1380,0.245612
1521.1390,0.242911
1521.1400,0.235207
1521.1410,0.244063
1521.1420,0.229672
1521.1430,0.237233
1521.1440,0.244160
1521.1450,0.234813
1521.1460,0.228686
1521.1470,0.234080
1521.1480,0.227654
1521.1490,0.219209
1521.1500,0.221722
1521.1510,0.219691
1521.1520,0.227569
1521.1530,0.223343
1521.1540,0.222581
1521.1550,0.221456
1521.1560,0.231572
1521.1570,0.212404
1521.1580,0.216306
1521.1590,0.216143
1521.1600,0.217465
1521.1610,0.213229
1521.1620,0.216010
1521.1630,0.222491
1521.1640,0.218428
1521.1650,0.223255
1521.1660,0.206697
1521.1670,0.216318
1521.1680,0.224294
1521.1690,0.212023
1521.1700,0.213617
1521.1710,0.211211
1521.1720,0.209899
1521.1730,0.202035
1521.1740,0.201041
1521.1750,0.213570
1521.1760,0.206092
1521.1770,0.198883
1521.1780,0.213317
1521.1790,0.213953
1521.1800,0.213606
1521.1810,0.195266
1521.1820,0.210403
1521.1830,0.208518
1521.1840,0.203384
1521.1850,0.203452
1521.1860,0.201644
1521.1870,0.206752
1521.1880,0.203315
1521.1890,0.201524
1521.1900,0.206501
1521.1910,0.210862
1521.1920,0.200654
1521.1930,0.197272
1521.1940,0.193956
1521.1950,0.201104
1521.1960,0.202383
1521.1970,0.189776
1521.1980,0.193471
1521.1990,0.193299
1521.2000,0.193387
1521.2010,0.195206
1521.2020,0.184075
1521.2030,0.185608
1521.2040,0.190286
1521.2050,0.183965
1521.2060,0.185322
1521.2070,0.194147
1521.2080,0.191711
1521.2090,0.187865
1521.2100,0.182784
1521.2110,0.188504
1521.2120,0.179676
1521.2130,0.179479
1521.2140,0.172147
1521.2150,0.179542
1521.2160,0.179354
1521.2170,0.169034
1521.2180,0.173378
1521.2190,0.177347
1521.2200,0.174329
1521.2210,0.172865
1521.2220,0.168647
1521.2230,0.168637
1521.2240,0.169880
1521.2250,0.163273
1521.2260,0.162519
1521.2270,0.165733
1521.2280,0.159386
1521.2290,0.166282
1521.2300,0.166178
1521.2310,0.153479
1521.2320,0.161804
1521.2330,0.157848
1521.2340,0.154543
1521.2350,0.154499
1521.2360,0.154851
1521.2370,0.151757
1521.2380,0.143500
1521.2390,0.153430
1521.2400,0.146049
1521.2410,0.148112
1521.2420,0.153096
1521.2430,0.142372
1521.2440,0.150229
1521.2450,0.138272
1521.2460,0.138574
1521.2470,0.141063
1521.2480,0.140169
1521.2490,0.141808
1521.2500,0.141682
1521.2510,0.135559
1521.2520,0.134420
1521.2530,0.128912
1521.2540,0.130460
1521.2550,0.125488
1521.2560,0.130756
1521.2570,0.124511
1521.2580,0.133617
1521.2590,0.123386
1521.2600,0.130040
1521.2610,0.127589
1521.2620,0.115167
1521.2630,0.121124
1521.2640,0.120784
1521.2650,0.115662
1521.2660,0.121968
1521.2670,0.115196
1521.2680,0.115753
1521.2690,0.114886
